"Data Source","World Development Indicators",

"Last Updated Date","2016-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2831651","2909393","2967419","3033640","3105347","3178724","3242082","3312584","3379113","3450428","3520473","3616679","3710661","3803915","3898857","3990380","4081263","4175377","4258119","4339454","4404615","4484305","4560927","4635564","4710194","","",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6210711","6504672","6811312","7114278","7429218","7773938","8106478","8304796","8524797","8743244","8956873","9197697","9426768","9647752","9887151","10122642","10342499","10575538","10774572","11017563","11308343","11569770","11842130","12088383","12355028","","",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","849954375","862012615","876002469","891537001","905750409","921493445","939156822","952193536","964879139","981219550","995978604","1008704167","1019815747","1032587622","1044320340","1055130057","1064139918","1074363332","1083720987","1092845568","1099003279","1113708135","1124652578","1135507177","1145225035","","",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755969491","774358749","793681001","813429540","836087471","856880623","878576005","898118723","918666171","943824814","963591810","991382808","1015892512","1041749703","1070408014","1099266578","1115352844","1130477441","1145414285","1161308613","1177742587","1197456348","1217636586","1243828444","1269209398","","",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","947894517","961982233","977385956","993617957","1009073642","1026044811","1045077671","1059277432","1071946290","1088542984","1103808271","1117200881","1128557636","1141371981","1153569597","1165115871","1174826900","1185937024","1195808775","1205050617","1212059676","1226309043","1237702364","1249491372","1259470455","","",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177971135","177653583","177035177","174251681","173423154","173806263","173648858","172455993","172063633","177231048","176813814","175805145","176364453","177853274","179003466","180534606","181902798","183946747","185557075","186919471","188295737","190441062","191631643","192958746","194077475","","",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388926408","391471780","390013964","387117867","386330897","386987738","388106394","387871448","388926095","395635720","396710301","396513935","399068251","402802722","406516127","410547604","414163509","418125058","422256344","424605998","426533424","429606967","431692480","434555015","435869098","","",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3888710","4027527","4184431","4345960","4496908","4664624","4818482","4973779","5138971","5331867","5505382","6030714","6068128","6094966","6416997","6462608","6728094","6679219","6720952","6841033","7034636","7203722","7377621","7554438","7720071","","",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16641570","16170648","16153866","16757027","17535001","17588393","17910359","18215026","18518155","19642575","20055270","20420374","20753596","21796441","22905428","23920678","23961636","25083888","25798395","26448525","27137347","27815836","28437255","28973542","29596846","","",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138341119","141490126","141032709","141320754","141773835","142223922","143414857","144257382","145591377","146734652","147932296","148536539","150307989","152143717","154279001","156102145","157749997","159373759","160977699","161423582","161568406","162094542","162298570","163450351","163285968","","",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1392025","1384199","1365373","1339359","1312796","1304850","1334050","1374380","1427529","1492785","1570865","1655711","1749622","1848921","1943914","2032664","2093446","2147294","2198238","2241346","2284718","2330630","","","","","",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15788571","15924509","16020298","16208915","16447560","16602796","16836933","17072372","17314685","17642436","18187732","18213125","18932245","19688521","20479711","21207964","21894836","22483232","23144495","23373861","23548377","23635272","23667418","23419921","23345028","","",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","844998","826193","796040","761980","730169","701384","696228","691378","680406","666493","672394","673671","659988","678464","680427","675868","695978","695775","701863","698738","693807","700628","691352","689704","687168","","",
"Ethiopia","ETH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20879951","21611395","22403872","23130916","23943241","24747261","25440162","26182961","27014831","27848615","28973693","30047779","31166316","32351328","33590288","34885465","35954569","37080368","38230995","39460157","40815504","42251797","43799598","45353120","47012009","","",
